HGNC ID	Approved Symbol	Previous Symbols	Synonyms	Chromosome	Gene Family Name	UniProt ID(supplied by UniProt)
HGNC:20681	NBEAL1	ALS2CR17, ALS2CR16	MGC164581	2q33.2	BEACH domain containing |WD repeat domain containing	Q6ZS30
HGNC:31928	NBEAL2		KIAA0540	3p21.31	BEACH domain containing |WD repeat domain containing	Q6ZNJ1
HGNC:1007	NBEAP1	BCL8	BCL8A	15q11.2		P0C6P0
HGNC:40003	NBEAP2		BCL8D	2q21.1		
HGNC:40004	NBEAP3		BCL8C	22q11.1		
HGNC:40009	NBEAP4			15q11.2		
HGNC:40010	NBEAP5			14q11.2		
HGNC:40011	NBEAP6			14q11.2		
HGNC:7650	NBL1		D1S1733E, NB, DAN, NO3, DAND1	1p36.13	DAN family	P41271
HGNC:7652	NBN	NBS, NBS1	ATV, AT-V2, AT-V1	8q21.3	BRCA1 C complex|MRN complex	O60934
HGNC:26088	NBPF1		FLJ20719, KIAA1693	1p36.13	Neuroblastoma breakpoint family	Q3BBV0
HGNC:31987	NBPF2P			1p36.12	Neuroblastoma breakpoint family	
HGNC:25076	NBPF3		AE2	1p36.12	Neuroblastoma breakpoint family	Q9H094
HGNC:26550	NBPF4		FLJ32833	1p13.3	Neuroblastoma breakpoint family	Q96M43
HGNC:24491	NBPF5P	NBPF5		1p13.3	Neuroblastoma breakpoint family	Q86XG9
HGNC:31988	NBPF6			1p13.3	Neuroblastoma breakpoint family	Q5VWK0
HGNC:31989	NBPF7			1p12	Neuroblastoma breakpoint family	P0C2Y1
HGNC:31990	NBPF8	NBPF8P		1p11.2	Neuroblastoma breakpoint family	Q3BBV2
HGNC:31991	NBPF9		AE01	1q21.2	Neuroblastoma breakpoint family	Q3BBW0
HGNC:31992	NBPF10		AG1	1q21.1	Neuroblastoma breakpoint family	Q6P3W6
HGNC:31993	NBPF11	NBPF24		1q21.2	Neuroblastoma breakpoint family	Q86T75
HGNC:24297	NBPF12	KIAA1245	COAS1	1q21.1	Neuroblastoma breakpoint family	Q5TAG4
HGNC:31995	NBPF13P			1q21.1	Neuroblastoma breakpoint family	
HGNC:25232	NBPF14		DJ328E19.C1.1	1q21.2	Neuroblastoma breakpoint family	Q5TI25
HGNC:28791	NBPF15	NBPF16	MGC8902	1q21.1	Neuroblastoma breakpoint family	Q8N660
HGNC:31997	NBPF17P	NBPF23P, NBPF23		1q21.1	Neuroblastoma breakpoint family	
HGNC:31998	NBPF18P			1q21.3	Neuroblastoma breakpoint family	
HGNC:31999	NBPF19			1q21.2	Neuroblastoma breakpoint family	A0A087WUL8
HGNC:32000	NBPF20			1q21.1	Neuroblastoma breakpoint family	Q3BBV1
HGNC:32001	NBPF21P			3p22.2	Neuroblastoma breakpoint family	
HGNC:28731	NBPF22P		MGC48637	5q14.3	Neuroblastoma breakpoint family	
HGNC:45046	NBPF25P			1q21.1	Neuroblastoma breakpoint family	
HGNC:49571	NBPF26			1p11.2	Neuroblastoma breakpoint family	B4DH59
HGNC:6746	NBR1	M17S2	CA125, KIAA0049, 1A1-3B	17q21.31	Zinc fingers ZZ-type	Q14596
HGNC:20691	NBR2		NCRNA00192	17q21.31	Long non-coding RNAs	O15453
HGNC:7655	NCALD			8q22.3	EF-hand domain containing	P61601
HGNC:7656	NCAM1		NCAM, CD56	11q23.2	Fibronectin type III domain containing|I-set domain containing|CD molecules	P13591
HGNC:48675	NCAM1-AS1			11q23.2		
HGNC:7657	NCAM2		NCAM21, MGC51008	21q21.1	Fibronectin type III domain containing|I-set domain containing	O15394
HGNC:2465	NCAN	CSPG3		19p12	Sushi domain containing|Endogenous ligands|Hyalectan proteoglycans|V-set domain containing|C-type lectin domain containing	O14594
HGNC:24305	NCAPD2		CNAP1, hCAP-D2, CAP-D2, KIAA0159	12p13.31		Q15021
HGNC:43831	NCAPD2P1			7p14.3		
HGNC:28952	NCAPD3		hCAP-D3, CAP-D3, hHCP-6, KIAA0056, FLJ42888, hcp-6	11q25		P42695
HGNC:24304	NCAPG		FLJ12450, hCAP-G, CAP-G, YCG1	4p15.31		Q9BPX3
HGNC:21904	NCAPG2	LUZP5	FLJ20311, MTB, CAP-G2, hCAP-G2	7q36.3		Q86XI2
HGNC:51904	NCAPGP1			8q24.12		
HGNC:51905	NCAPGP2			15q13.2		
HGNC:1112	NCAPH	BRRN1	CAP-H, hCAP-H	2q11.2		Q15003
HGNC:25071	NCAPH2		384D8-2, hCAP-H2, CAP-H2	22q13.33		Q6IBW4
HGNC:7658	NCBP1	NCBP	CBP80, Sto1	9q22.33		Q09161
HGNC:7659	NCBP2		NIP1, CBP20, Cbc2	3q29	RNA binding motif containing	P52298
HGNC:40392	NCBP2-AS1			3q29		
HGNC:25121	NCBP2-AS2			3q29		Q69YL0
HGNC:31795	NCBP2L			Xq22.3	RNA binding motif containing	A6PVI3
HGNC:24612	NCBP3	C17orf85	HSA277841, ELG	17p13.2		Q53F19
HGNC:33739	NCCRP1		LOC342897, NCCRP-1, FBXO50	19q13.2		Q6ZVX7
HGNC:17597	NCDN		NCDN-1, NCDN-2	1p34.3		Q9UBB6
HGNC:29260	NCEH1	AADACL1	KIAA1363, NCEH	3q26.31		Q6PIU2
HGNC:7660	NCF1		p47phox, NOXO2, NCF1A, SH3PXD1A	7q11.23		P14598
HGNC:32522	NCF1B		SH3PXD1B	7q11.23		A6NI72
HGNC:32523	NCF1C		SH3PXD1C	7q11.23		A8MVU1
HGNC:7661	NCF2		p67phox, NOXA2	1q25.3	Tetratricopeptide repeat domain containing	P19878
HGNC:7662	NCF4		p40phox, SH3PXD4	22q12.3		Q15080
HGNC:40393	NCF4-AS1		CTA-833B7.2	22q12.3		
HGNC:7664	NCK1	NCK	NCKalpha	3q22.3	SH2 domain containing	P16333
HGNC:49645	NCK1-AS1		SLC35G2-AS1	3q22.3		
HGNC:7665	NCK2		NCKbeta	2q12.2	SH2 domain containing	O43639
HGNC:7666	NCKAP1		Nap1, HEM2, NAP125	2q32.1		Q9Y2A7
HGNC:4862	NCKAP1L	HEM1		12q13.13-q13.2		P55160
HGNC:29847	NCKAP5		NAP5, ERIH1, ERIH2	2q21.2		O14513
HGNC:41497	NCKAP5-IT1			2q21.2		
HGNC:29321	NCKAP5L	KIAA1602		12q13.12		Q9HCH0
HGNC:15486	NCKIPSD		AF3P21, SPIN90, ORF1, WISH, WASLBP, DIP1	3p21.31		Q9NZQ3
HGNC:7667	NCL		C23	2q37.1	RNA binding motif containing|DNA helicases	P19338
HGNC:26923	NCLN		NICALIN, NET59	19p13.3		Q969V3
HGNC:35472	NCLP1			9q34.3		
HGNC:35473	NCLP2		bA85L21.1	Xq26.3		
HGNC:29332	NCMAP	C1orf130	FLJ42528, MP11	1p36.11		Q5T1S8
HGNC:7668	NCOA1		SRC1, F-SRC-1, NCoA-1, KAT13A, RIP160, bHLHe74	2p23.3	Basic helix-loop-helix proteins|Lysine acetyltransferases	Q15788
HGNC:7669	NCOA2		TIF2, GRIP1, NCoA-2, KAT13C, bHLHe75	8q13.3	Basic helix-loop-helix proteins|Lysine acetyltransferases	Q15596
HGNC:7670	NCOA3		RAC3, AIB1, ACTR, p/CIP, TRAM-1, CAGH16, TNRC16, KAT13B, bHLHe42, SRC-3, SRC3	20q13.12	Basic helix-loop-helix proteins|Lysine acetyltransferases|Trinucleotide repeat containing	Q9Y6Q9
HGNC:7671	NCOA4		ARA70, RFG, ELE1, PTC3, DKFZp762E1112	10q11.22		Q13772
HGNC:20022	NCOA4P1	NCOA4P		14q23.3		
HGNC:52403	NCOA4P2			4q22.1		
HGNC:52404	NCOA4P3			4q31.21		
HGNC:52405	NCOA4P4			5q31.2		
HGNC:15909	NCOA5		bA465L10.6, CIA	20q13.12		Q9HCD5
HGNC:15936	NCOA6		KIAA0181, RAP250, ASC2, AIB3, PRIP, TRBP, NRC	20q11.22		Q14686
HGNC:21081	NCOA7		ERAP140, dJ187J11.3, TLDC4	6q22.31-q22.32		Q8NI08
HGNC:40954	NCOA7-AS1			6q22.32		
HGNC:7672	NCOR1		N-CoR, hCIT529I10, TRAC1, hN-CoR, KIAA1047, MGC104216, PPP1R109	17p12-p11.2	Myb/SANT domain containing|Protein phosphatase 1 regulatory subunits	O75376
HGNC:16724	NCOR1P1	C20orf191	bB329D4.2	20p11.1		Q9H4R4
HGNC:42997	NCOR1P2			17p11.2		
HGNC:42996	NCOR1P3			7p11.2		
HGNC:7673	NCOR2		SMRT, SMRTE, TRAC-1, CTG26, TNRC14	12q24.31	Myb/SANT domain containing|Trinucleotide repeat containing	Q9Y618
HGNC:6731	NCR1	LY94	NK-p46, NKP46, CD335	19q13.42	CD molecules|Immunoglobulin like domain containing	O76036
HGNC:6732	NCR2	LY95	NK-p44, CD336	6p21.1	CD molecules|V-set domain containing	O95944
HGNC:19077	NCR3	LY117	1C7, NKp30, CD337	6p21.33	CD molecules|V-set domain containing	O14931
HGNC:42400	NCR3LG1		DKFZp686O24166, B7-H6	11p15.1	Endogenous ligands|C1-set domain containing	Q68D85
HGNC:37153	NCRUPAR		ncR-uPAR, ncRuPAR, NCRNA00193	5q13.3	Long non-coding RNAs	
HGNC:3953	NCS1	FREQ	NCS-1	9q34.11	EF-hand domain containing	P62166
HGNC:17091	NCSTN		KIAA0253, APH2	1q23.2		Q92542
HGNC:39606	NCSTNP1			21q21.3		
HGNC:25525	NDC1	TMEM48	FLJ10407, NET3	1p32.3	Nucleoporins	Q9BTX1
HGNC:16909	NDC80	KNTC2	HEC, HEC1, hsNDC80, TID3	18p11.32		O14777
HGNC:17619	NDE1		nudE, FLJ20101, NDE	16p13.11		Q9NXR1
HGNC:49115	NDE1P1			1p13.3		
HGNC:49116	NDE1P2			13q13.3		
HGNC:17620	NDEL1		NUDEL, MITAP1, NDE1L1, NDE2	17p13.1		Q9GZM8
HGNC:17592	NDFIP1		N4WBP5, MGC10924	5q31.3		Q9BT67
HGNC:49866	NDFIP1P1			12p12.3		
HGNC:18537	NDFIP2		KIAA1165, N4wbp5a	13q31.1		Q9NV92
HGNC:40844	NDFIP2-AS1			13q31.1		
HGNC:7675	NDN		HsT16328, PWCR	15q11.2	MAGE family	Q99608
HGNC:26256	NDNF	C4orf31	FLJ23191	4q27		Q8TB73
HGNC:29838	NDOR1		NR1, bA350O14.9	9q34.3		Q9UHB4
HGNC:7678	NDP	EVR2	norrin	Xp11.3	Endogenous ligands	Q00604
HGNC:40395	NDP-AS1			Xp11.3		
HGNC:7679	NDRG1	CAP43	DRG1, RTP, TDD5, NDR1	8q24.22		Q92597
HGNC:14460	NDRG2		KIAA1248, SYLD	14q11.2		Q9UN36
HGNC:14462	NDRG3			20q11.23		Q9UGV2
HGNC:14466	NDRG4		KIAA1180, SMAP-8	16q21		Q9ULP0
HGNC:7680	NDST1	HSST	NST1	5q33.1	Sulfotransferases, membrane bound	P52848
HGNC:52899	NDST1-AS1			5q33.1		
HGNC:7681	NDST2		NST2, HSST2	10q22.2	Sulfotransferases, membrane bound	P52849
HGNC:7682	NDST3		HSST3	4q26	Sulfotransferases, membrane bound	O95803
HGNC:20779	NDST4			4q26	Sulfotransferases, membrane bound	Q9H3R1
HGNC:7683	NDUFA1		MWFE, CI-MWFE	Xq24	NADH:ubiquinone oxidoreductase supernumerary subunits	O15239
HGNC:7685	NDUFA2		B8	5q31.3	NADH:ubiquinone oxidoreductase supernumerary subunits	O43678
HGNC:7686	NDUFA3		B9	19q13.42	NADH:ubiquinone oxidoreductase supernumerary subunits	O95167
HGNC:45043	NDUFA3P1			19q13.31		
HGNC:45051	NDUFA3P2			11q13.2		
HGNC:45052	NDUFA3P3			1q42.12		
HGNC:45053	NDUFA3P4			15q26.1		
HGNC:45054	NDUFA3P5			13q32.1		
HGNC:45055	NDUFA3P6			16p11.2		
HGNC:7687	NDUFA4		MLRQ, CI-9k	7p21.3		O00483
HGNC:29836	NDUFA4L2		NUOMS, FLJ26118	12q13.3		Q9NRX3
HGNC:29835	NDUFA4P1			1p13.3		
HGNC:31362	NDUFA4P2	NDUFA4L	bcm1723	3q13.11		
HGNC:7688	NDUFA5		B13, NUFM, CI-13KD-B, UQOR13, CI-13kB	7q31.32	NADH:ubiquinone oxidoreductase supernumerary subunits	Q16718
HGNC:7689	NDUFA5P1			11p15.4		
HGNC:48855	NDUFA5P2			8q22.3		
HGNC:48845	NDUFA5P3			9p22.1		
HGNC:48846	NDUFA5P4			9p13.3		
HGNC:48847	NDUFA5P5			3p11.1		
HGNC:48848	NDUFA5P6			12q24.32		
HGNC:48849	NDUFA5P7			Xq21.2		
HGNC:48850	NDUFA5P8			11p15.4		
HGNC:48851	NDUFA5P9			6q14.3		
HGNC:48852	NDUFA5P10			1p13.3		
HGNC:48853	NDUFA5P11			16q12.1		
HGNC:48854	NDUFA5P12			8q11.1		
HGNC:7690	NDUFA6		B14, LYRM6, CI-B14, NADHB14	22q13.2	NADH:ubiquinone oxidoreductase supernumerary subunits|LYR motif containing	P56556
HGNC:45273	NDUFA6-AS1			22q13.2		
HGNC:7691	NDUFA7		B14.5a	19p13.2	NADH:ubiquinone oxidoreductase supernumerary subunits	O95182
HGNC:7692	NDUFA8		PGIV, MGC793	9q33.2	NADH:ubiquinone oxidoreductase supernumerary subunits	P51970
HGNC:52264	NDUFA8P1			10q22.2		
HGNC:7693	NDUFA9	NDUFS2L	SDR22E1, CI-39k	12p13.3	Short chain dehydrogenase/reductase superfamily|NADH:ubiquinone oxidoreductase supernumerary subunits	Q16795
HGNC:19252	NDUFA9P1		dJ106I20.2	22q12.3		
HGNC:7684	NDUFA10		CI-42k	2q37.3	NADH:ubiquinone oxidoreductase supernumerary subunits	O95299
HGNC:20371	NDUFA11		B14.7	19p13.3	NADH:ubiquinone oxidoreductase supernumerary subunits	Q86Y39
HGNC:23987	NDUFA12		DAP13, B17.2	12q22	NADH:ubiquinone oxidoreductase supernumerary subunits	Q9UI09
HGNC:39419	NDUFA12P1			13q32.3		
HGNC:17194	NDUFA13		CGI-39, CDA016, GRIM-19, GRIM19, B16.6	19p13.11	NADH:ubiquinone oxidoreductase supernumerary subunits	Q9P0J0
HGNC:7694	NDUFAB1		SDAP, FASN2A, ACP, ACP1	16p12.2	NADH:ubiquinone oxidoreductase supernumerary subunits	O14561
HGNC:52265	NDUFAB1P1			6q13		
HGNC:18828	NDUFAF1		CIA30, CGI-65	15q15.1	Mitochondrial complex I assembly complex	Q9Y375
HGNC:28086	NDUFAF2	NDUFA12L	B17.2L, MMTN, mimitin	5q12.1	Mitochondrial respiratory chain complex assembly factors	Q8N183
HGNC:29918	NDUFAF3	C3orf60	MGC10527, DKFZP564J0123, E3-3, 2P1	3p21.31	Mitochondrial respiratory chain complex assembly factors	Q9BU61
HGNC:21034	NDUFAF4	C6orf66	HSPC125, bA22L21.1, My013, HRPAP20	6q16.1	Mitochondrial respiratory chain complex assembly factors	Q9P032
HGNC:44194	NDUFAF4P1			15q21.1		
HGNC:44541	NDUFAF4P2			7q21.3		
HGNC:44542	NDUFAF4P3			3p22.2		
HGNC:44543	NDUFAF4P4			1q25.1		
HGNC:15899	NDUFAF5	C20orf7	dJ842G6.1	20p12.1	Mitochondrial respiratory chain complex assembly factors	Q5TEU4
HGNC:28625	NDUFAF6	C8orf38	MGC40214	8q22.1	Mitochondrial respiratory chain complex assembly factors	Q330K2
HGNC:28816	NDUFAF7	C2orf56	PRO1853, MidA	2p22.2	Mitochondrial respiratory chain complex assembly factors	Q7L592
HGNC:33551	NDUFAF8	C17orf89		17q25.3	Mitochondrial respiratory chain complex assembly factors	A1L188
HGNC:7695	NDUFB1		MNLL, CI-MNLL	14q31.3	NADH:ubiquinone oxidoreductase supernumerary subunits	O75438
HGNC:30893	NDUFB1P1	NDUFB1P	bcm3095	3p21.31		
HGNC:37815	NDUFB1P2			1q41		
HGNC:7697	NDUFB2		AGGG, CI-AGGG	7q34	NADH:ubiquinone oxidoreductase supernumerary subunits	O95178
HGNC:40396	NDUFB2-AS1			7q34		
HGNC:52266	NDUFB2P1			4q32.1		
HGNC:7698	NDUFB3		B12	2q33.1	NADH:ubiquinone oxidoreductase supernumerary subunits	O43676
HGNC:13673	NDUFB3P1			1p13.3		
HGNC:13674	NDUFB3P2			9q33.3		
HGNC:13675	NDUFB3P3			14q22.1		
HGNC:13676	NDUFB3P4			14q32.2		
HGNC:13677	NDUFB3P5			Xq26.3-q27.3		
HGNC:7699	NDUFB4		B15	3q13.33	NADH:ubiquinone oxidoreductase supernumerary subunits	O95168
HGNC:45248	NDUFB4P1			3p14.1		
HGNC:45250	NDUFB4P2			5q11.2		
HGNC:45251	NDUFB4P3			17p11.2		
HGNC:45252	NDUFB4P4			2p23.3		
HGNC:45253	NDUFB4P5			2p11.2		
HGNC:45254	NDUFB4P6			2q14.1		
HGNC:45255	NDUFB4P7			2p11.2		
HGNC:45256	NDUFB4P8			1p36.33		
HGNC:45257	NDUFB4P9			4q31.1		
HGNC:45258	NDUFB4P10			20q13.12		
HGNC:45259	NDUFB4P11			14q32.32		
HGNC:45260	NDUFB4P12			4p13		
HGNC:7700	NDUFB5		SGDH, CI-SGDH, MGC12314	3q26.33	NADH:ubiquinone oxidoreductase supernumerary subunits	O43674
HGNC:52267	NDUFB5P1			4q34.3		
HGNC:52268	NDUFB5P2			Xq21.33		
HGNC:7701	NDUFB6		B17, CI	9p21.1	NADH:ubiquinone oxidoreductase supernumerary subunits	O95139
HGNC:7702	NDUFB7		B18, CI-B18, MGC2480	19p13.12	NADH:ubiquinone oxidoreductase supernumerary subunits	P17568
HGNC:7703	NDUFB8		ASHI, CI-ASHI	10q24.31	NADH:ubiquinone oxidoreductase supernumerary subunits	O95169
HGNC:20023	NDUFB8P1			14q24.3		
HGNC:33978	NDUFB8P2			17q23.1		
HGNC:33979	NDUFB8P3			11p13		
HGNC:7704	NDUFB9		B22, UQOR22, LYRM3	8q24.13	NADH:ubiquinone oxidoreductase supernumerary subunits|LYR motif containing	Q9Y6M9
HGNC:52269	NDUFB9P1			5q13.2		
HGNC:52270	NDUFB9P2			7q32.3		
HGNC:52271	NDUFB9P3			8q23.2		
HGNC:7696	NDUFB10		PDSW	16p13.3	NADH:ubiquinone oxidoreductase supernumerary subunits	O96000
HGNC:52272	NDUFB10P1			15q21.3		
HGNC:52273	NDUFB10P2			7q34		
HGNC:20372	NDUFB11		ESSS, NP17.3, Np15	Xp11.3	NADH:ubiquinone oxidoreductase supernumerary subunits	Q9NX14
HGNC:33980	NDUFB11P1	NDUFB11P		11q14.3		
HGNC:7705	NDUFC1		KFYI	4q31.1	NADH:ubiquinone oxidoreductase supernumerary subunits	O43677
HGNC:7706	NDUFC2		B14.5b, HLC-1	11q14.1	NADH:ubiquinone oxidoreductase supernumerary subunits	O95298
HGNC:42956	NDUFC2-KCTD14			11q14.1		E9PQ53
HGNC:7707	NDUFS1		CI-75k	2q33.3	NADH:ubiquinone oxidoreductase core subunits	P28331
HGNC:7708	NDUFS2		CI-49	1q23.3	NADH:ubiquinone oxidoreductase core subunits	O75306
HGNC:7710	NDUFS3		CI-30	11p11.2	NADH:ubiquinone oxidoreductase core subunits	O75489
HGNC:7711	NDUFS4		AQDQ, CI-18	5q11.2	NADH:ubiquinone oxidoreductase supernumerary subunits	O43181
HGNC:7712	NDUFS5		CI-15k	1p34.3	NADH:ubiquinone oxidoreductase supernumerary subunits	O43920
HGNC:44039	NDUFS5P1			6q23.3		
HGNC:44040	NDUFS5P2			1p21.3		
HGNC:44041	NDUFS5P3			1p32.3		
HGNC:44042	NDUFS5P4			4q23		
HGNC:44043	NDUFS5P5			4q26		
HGNC:44044	NDUFS5P6			8q13.2		
HGNC:44045	NDUFS5P7			17q11.2		
HGNC:7713	NDUFS6		CI-13kA	5p15.33	NADH:ubiquinone oxidoreductase supernumerary subunits	O75380
HGNC:52274	NDUFS6P1			3q22.2		
HGNC:7714	NDUFS7		PSST, FLJ46880, FLJ45860, CI-20	19p13.3	NADH:ubiquinone oxidoreductase core subunits	O75251
HGNC:7715	NDUFS8		TYKY, CI-23k	11q13.2	NADH:ubiquinone oxidoreductase core subunits	O00217
HGNC:7716	NDUFV1		CI-51K	11q13.2	NADH:ubiquinone oxidoreductase core subunits	P49821
HGNC:7717	NDUFV2		CI-24k	18p11.22	NADH:ubiquinone oxidoreductase core subunits	P19404
HGNC:50826	NDUFV2-AS1			18p11.22		
HGNC:7718	NDUFV2P1			19q13.42		
HGNC:7719	NDUFV3		CI-10k	21q22.3	NADH:ubiquinone oxidoreductase supernumerary subunits	P56181
HGNC:30815	NEAT1	NCRNA00084	TncRNA, MENepsilon/beta, LINC00084, VINC	11q13.1	Long non-coding RNAs	
HGNC:7720	NEB	NEM2	NEB177D	2q23.3		P20929
HGNC:16932	NEBL		LASP2, LNEBL	10p12.31	LIM domain containing	O76041
HGNC:44899	NEBL-AS1			10p12.31		
HGNC:20983	NECAB1	EFCBP1		8q21.3	N-terminal EF-hand calcium binding proteins|EF-hand domain containing	Q8N987
HGNC:23746	NECAB2	EFCBP2		16q23.3	N-terminal EF-hand calcium binding proteins|EF-hand domain containing	Q7Z6G3
HGNC:15851	NECAB3	SYTIP2, APBA2BP	XB51, dJ63M2.4, NIP1, dJ63M2.5, EFCBP3	20q11.22	N-terminal EF-hand calcium binding proteins|EF-hand domain containing	Q96P71
HGNC:24539	NECAP1		DKFZP566B183	12p13.31		Q8NC96
HGNC:43912	NECAP1P1			7p14.1		
HGNC:43913	NECAP1P2			2p13.1		
HGNC:25528	NECAP2		FLJ10420	1p36.13		Q9NVZ3
HGNC:9706	NECTIN1	HVEC, ED4, PVRL1	PRR, PRR1, PVRR1, SK-12, HIgR, CLPED1, CD111, OFC7	11q23.3	C2-set domain containing|CD molecules|V-set domain containing|Immunoglobulin like domain containing	Q15223
HGNC:9707	NECTIN2	HVEB, PVRL2	PVRR2, PRR2, CD112	19q13.32	C2-set domain containing|CD molecules|V-set domain containing|Immunoglobulin like domain containing	Q92692
HGNC:17664	NECTIN3	PVRL3	nectin-3, PPR3, PVRR3, DKFZP566B0846, CDw113, CD113	3q13.13	C2-set domain containing|I-set domain containing|CD molecules|V-set domain containing|Immunoglobulin like domain containing	Q9NQS3
HGNC:19688	NECTIN4	PVRL4	nectin-4, PRR4, LNIR	1q23.3	C2-set domain containing|V-set domain containing	Q96NY8
HGNC:7723	NEDD1		GCP-WD, TUBGCP7	12q23.1	WD repeat domain containing	Q8NHV4
HGNC:7727	NEDD4		KIAA0093, MGC176705, NEDD4-1, RPF1	15q21.3		P46934
HGNC:7728	NEDD4L		KIAA0439, RSP5, NEDD4-2	18q21.31	C2 domain containing	Q96PU5
HGNC:7732	NEDD8		Nedd-8	14q12		Q15843
HGNC:39551	NEDD8-MDP1			14q12		
HGNC:7733	NEDD9		HEF1, CAS-L, CASS2	6p24.2	Cas scaffolding proteins	Q14511
HGNC:7737	NEFH			22q12.2	Intermediate filaments Type IV	P12036
HGNC:7738	NEFHP1	NEFHL		1p13.1		
HGNC:7739	NEFL		NFL, CMT1F, CMT2E, NF68, PPP1R110	8p21.2	Intermediate filaments Type IV|Protein phosphatase 1 regulatory subunits	P07196
HGNC:37662	NEFLP1			Yq11.223		
HGNC:7734	NEFM	NEF3	NFM, NF-M	8p21.2	Intermediate filaments Type IV	P07197
HGNC:45030	NEFMP1			10q21.1		
HGNC:17302	NEGR1		KILON, MGC46680, Ntra, IGLON4	1p31.1	I-set domain containing|IgLON cell adhesion molecules	Q7Z3B1
HGNC:41432	NEGR1-IT1			1p31.1		
HGNC:18448	NEIL1		FLJ22402, hFPG1, NEI1, FPG1	15q24.2	DNA glycosylases	Q96FI4
HGNC:18956	NEIL2		NEH2, FLJ31644, MGC2832, MGC4505	8p23.1	DNA glycosylases	Q969S2
HGNC:24573	NEIL3		FLJ10858, hFPG2, FPG2, hNEI3, ZGRF3	4q34.3	DNA glycosylases|Zinc fingers RANBP2-type |Zinc fingers GRF-type	Q8TAT5
HGNC:7744	NEK1		NY-REN-55, KIAA1901	4q33		Q96PY6
HGNC:7745	NEK2		NLK1, NEK2A, RP67, PPP1R111	1q32.3	Protein phosphatase 1 regulatory subunits	P51955
HGNC:19272	NEK2P1	NEK2P		14q11.2		
HGNC:37816	NEK2P2			22q11.1		
HGNC:37817	NEK2P3			14q11.1		
HGNC:37818	NEK2P4			2q21.1		
HGNC:7746	NEK3		HSPK36, MGC29949	13q14.3		P51956
HGNC:11399	NEK4	STK2	NRK2, pp12301	3p21.1		P51957
HGNC:39649	NEK4P1			21q21.1		
HGNC:39650	NEK4P2			17p11.2		
HGNC:39651	NEK4P3			10q21.3		
HGNC:7748	NEK5			13q14.3		Q6P3R8
HGNC:7749	NEK6		SID6-1512	9q33.3		Q9HC98
HGNC:13386	NEK7			1q31.3		Q8TDX7
HGNC:13387	NEK8		NPHP9	17q11.1		Q86SG6
HGNC:18591	NEK9		Nek8, NERCC, DKFZp434D0935, MGC16714	14q24.3		Q8TD19
HGNC:18592	NEK10		FLJ32685	3p24.1		Q6ZWH5
HGNC:18593	NEK11		FLJ23495	3q22.1		Q8NG66
HGNC:12768	NELFA	WHSC2	NELF-A	4p16.3		Q9H3P2
HGNC:24324	NELFB	COBRA1	KIAA1182, NELF-B	9q34.3		Q8WX92
HGNC:15934	NELFCD	TH1L	HSPC130, TH1, NELF-C, NELF-D	20q13.32		Q8IXH7
HGNC:13974	NELFE	RDBP	RD, D6S45, NELF-E, RDP	6p21.33	RNA binding motif containing	P18615
HGNC:7750	NELL1		IDH3GL, FLJ45906	11p15.1		Q92832
HGNC:7751	NELL2		NRP2	12q12		Q99435
HGNC:10663	NEMF	SDCCAG1	NY-CO-1, FLJ10051	14q21.3		O60524
HGNC:29001	NEMP1	TMEM194, TMEM194A	KIAA0286	12q13.3		O14524
HGNC:33700	NEMP2	TMEM194B		2q32.2		A6NFY4
HGNC:30384	NENF		CIR2, SCIRP10, SPUF	1q32.3	Membrane associated progesterone receptor family	Q9UMX5
HGNC:50298	NENFP1			1p33		
HGNC:50299	NENFP2			12q23.2		
HGNC:50300	NENFP3			5p15.2		
HGNC:7754	NEO1		NGN, HsT17534, IGDCC2, NTN1R2	15q24.1	Fibronectin type III domain containing|I-set domain containing|Immunoglobulin like domain containing	Q92859
HGNC:33184	NEPNP		NPN, NEPN	6q22.1		
HGNC:24496	NEPRO	C3orf17	DKFZP434F2021, NET17	3q13.2		Q6NW34
HGNC:7756	NES		FLJ21841	1q23.1	Intermediate filaments Type IV	P48681
HGNC:14592	NET1		ARHGEF8, NET1A	10p15.1	Rho guanine nucleotide exchange factors|Pleckstrin homology domain containing	Q7Z628
HGNC:13823	NETO1		BTCL1, BCTL1	18q22.3		Q8TDF5
HGNC:14644	NETO2		FLJ10430, NEOT2	16q12.1		Q8NC67
HGNC:7758	NEU1	NEU		6p21.33		Q99519
HGNC:7759	NEU2		SIAL2	2q37.1		Q9Y3R4
HGNC:7760	NEU3			11q13.5		Q9UQ49
HGNC:21328	NEU4			2q37.3		Q8WWR8
HGNC:7761	NEURL1	NEURL	h-neu, RNF67, neu-1	10q24.33	Ring finger proteins	O76050
HGNC:51220	NEURL1-AS1			10q24.33		
HGNC:35422	NEURL1B		DKFZP761M1511, Neur2	5q35.1		A8MQ27
HGNC:16156	NEURL2	C20orf163	dJ337O18.6, FLJ30259, Ozz, Ozz-E3	20q13.12		Q9BR09
HGNC:25162	NEURL3		Lincr, LOC93082	2q11.2		Q96EH8
HGNC:34410	NEURL4		KIAA1787	17p13.1		Q96JN8
HGNC:7762	NEUROD1	NEUROD	BETA2, BHF-1, NeuroD, bHLHa3, MODY6	2q31.3	Basic helix-loop-helix proteins	Q13562
HGNC:7763	NEUROD2		NDRF, bHLHa1	17q12	Basic helix-loop-helix proteins	Q15784
